lipid,type,mean1,mean2,logFC,logCPM,LR,PValue,FDR,Z1_sum,Z2_sum,Z3_sum,Z4_sum,Z5_sum,K1_sum,K2_sum,K3_sum
DG(18:0_24:7),DG,1160834,1637200,0.07916783199597872,4.722736278456629,0.02706420646399188,0.8693280809106023,0.9957257652147417,883460,736310,1307400,1440100,1436900,1510800,1727800,1673000
DG(18:1_18:1),DG,3935920,8860033.333333334,0.7121956881041276,6.826594308327663,2.2504558659068774,0.13357504724573235,0.9957257652147417,3217070,3253800,7232600,1073820,4902310,9679600,11221000,5679500
DG(18:1_20:1),DG,963177.4,2077063.3333333333,0.6696728295526233,4.740899854051317,1.9870877666542683,0.1586457123217238,0.9957257652147417,739350,753747,1155760,781500,1385530,2195330,2704700,1331160
DG(18:1_20:4),DG,7592570.6,13106084.666666666,0.34377695473340025,7.566915938989447,0.5171134624882026,0.47207560076912736,0.9957257652147417,8785820,5799030,8035800,7745063,7597140,17847530,13312000,8158724
DG(18:1_22:1),DG,1203548,2385553.3333333335,0.5549127601784527,4.989452569781125,1.3590197444001162,0.2437074406867361,0.9957257652147417,865280,1043960,1164640,1392040,1551820,1766860,2909800,2480000
DG(18:1_22:6),DG,1607765.6,1960379.6666666667,-0.15165936436290628,5.127978485813219,0.09797393041897084,0.7542746784492265,0.9957257652147417,1353080,1506540,1613510,2152088,1413610,2018772,2057127,1805240
DG(18:1_23:1),DG,249780,511066.6666666667,0.5939259370712716,2.835527801051402,1.558996688493472,0.21181218484084893,0.9957257652147417,196600,217750,268730,333650,232170,282300,680150,570750
DG(18:1_24:1),DG,1597808,3233733.3333333335,0.6078018688285656,5.421834869029541,1.6335016820523345,0.20121940005099118,0.9957257652147417,1106580,994630,1675860,1870860,2341110,3368700,3069400,3263100
DG(18:1_25:1),DG,98500.6,169670,0.366841113264524,1.4731531467610184,0.589411717046358,0.44264669428242664,0.9957257652147417,65928,69755,96300,129680,130840,162260,197270,149480
DG(19:0_18:1),DG,82672.2,166666.66666666666,0.5872768113133982,1.1366521232884916,1.523887825128622,0.21703209615810853,0.9957257652147417,51052,71007,81682,103620,106000,143940,186300,169760
DG(20:0_18:1),DG,483428.86,1395935.8333333333,1.0862225218098973,4.524137995907792,5.279921039328068,0.02157272625819784,0.49535370980884924,406997.5,462257.1,586325.5,391467.2,570097,1310492.5,1360670.6,1516644.4
DG(20:0_20:4),DG,361204.6,904470,0.9127999271430981,3.411213880532517,3.7163703172113305,0.053881380088148016,0.9026704012683527,198641,250499,313103,400220,643560,669120,1105680,938610
DG(20:2_16:0),DG,474492.4,1205500,0.912488118230111,3.8696866437583557,3.7138126977659205,0.053963991380173264,0.9026704012683527,500100,222700,767280,66982,815400,1347400,1130800,1138300
DG(20:4_20:4),DG,222596,260850,-0.19149358094025842,2.2500034564739595,0.15580093960713626,0.6930522886088218,0.9957257652147417,181010,152160,266880,220350,292580,294800,222660,265090
DG(20:4_22:6),DG,1522740,1766066.6666666667,-0.2125537503572987,5.018028577845649,0.1916957126657759,0.6615090221705108,0.9957257652147417,1008900,1295500,1675600,1717000,1916700,1835000,1803200,1660000
DG(21:0_18:1),DG,96211.8,319116.6666666667,1.354965669231894,1.7184866547220226,8.237660602624125,0.004102998208367258,0.18244950502663113,28831,26978,116020,152360,156870,287100,376260,293990
DG(22:0_16:1),DG,514192,1412800,1.001919877110107,4.380022047828097,4.48570674361128,0.0341794115815454,0.6798931601085788,450860,582440,581620,392480,563560,1307300,1422000,1509100
DG(22:0_20:4),DG,55737.4,121216.66666666667,0.694378016553193,0.6268722726854853,2.137962386624302,0.1436926369981518,0.9957257652147417,32008,56916,48657,68383,72723,105180,117280,141190
DG(23:0_18:1),DG,508171,1055076.6666666667,0.6390489134542421,3.868238980033755,1.8076861119625538,0.17878605196243647,0.9957257652147417,316085,410631,441843,678692,693604,970370,1052070,1142790
DG(24:0_18:1),DG,683598,1200916.6666666667,0.39267009828059424,4.179418670302453,0.6761142043674582,0.4109280038883285,0.9957257652147417,464830,639560,651760,668870,992970,1276900,789050,1536800
DG(O-16:0_22:6),DG,896148,1418700,0.2442615016239324,4.418579632574848,0.2598460457984786,0.6102259431065431,0.9957257652147417,586700,705270,920430,1190790,1077550,1662680,1390020,1203400
DG(O-17:0_19:0),DG,29609.4,96675.66666666667,1.2849415926095846,0.03409410823242514,7.404620403812943,0.006505656962623347,0.25200860655214646,31067,22115,22790,52279,19796,94476,84851,110700
DG(O-17:0_23:6),DG,71707.6,105173,0.14649010430267265,0.7289182796010895,0.0929939123230148,0.7604049707561427,0.9957257652147417,66490,30866,85146,88458,87578,107970,88249,119300
Hex1Cer(d17:0_23:2),Hex1Cer,2781660,2487500,-0.625275145162003,5.839956946137803,1.6104354011537794,0.2044306089227768,0.9957257652147417,2828200,2451000,2945500,2898400,2785200,1716000,4318100,1428400
Hex1Cer(d18:0_22:1),Hex1Cer,6363.5,34095.666666666664,1.9980963732284256,-1.7139471867054414,17.820080373402853,2.4280721683403916e-5,0.00223382639487316,6150.9,4173.5,7339.7,8270.1,5883.3,23859,32252,46176
Hex1Cer(d18:1_16:0),Hex1Cer,844228.1,1887763.3333333333,0.7233228343781587,4.562060102967527,2.3220937886432496,0.1275482384293235,0.9957257652147417,788304,585126,1042470,1025800,779440.5,1537850,2455320,1670120
Hex1Cer(d18:1_18:0),Hex1Cer,12391500,19232973.333333332,0.19273352021010673,8.208935248626766,0.16136506574866968,0.6879028312147476,0.9957257652147417,11160040,11479780,12833150,12802320,13682210,20809800,19604090,17285030
Hex1Cer(d18:1_18:1),Hex1Cer,17738179.2,27296126.666666668,0.17920438016189527,8.720776143581954,0.1394094369291373,0.7088688190654028,0.9957257652147417,17237295,15496969,18383690,19596936,17976006,24989120,30118870,26780390
Hex1Cer(d18:1_19:0),Hex1Cer,575302,1009680,0.356336806936456,3.8574191035906273,0.555897863769333,0.45591779368630486,0.9957257652147417,602220,582380,471100,558990,661820,812980,1244360,971700
Hex1Cer(d18:1_20:0),Hex1Cer,4957056.2,7487082,0.15228145793290218,6.874036176035229,0.10052767661146339,0.751197318099768,0.9957257652147417,4819071,4616120,4926741,4730080,5693269,8338410,7081850,7040986
Hex1Cer(d18:1_20:1),Hex1Cer,34821115.1352,64284140,0.4543511872352134,9.942300214829226,0.9075514558860718,0.34076492528087854,0.9957257652147417,35115045.676,21713860,36936450,38029970,42310250,68058420,73389950,51404050
Hex1Cer(d18:1_21:0),Hex1Cer,5233476,6548283.333333333,-0.12427531930637682,6.850815845193667,0.06590043320963834,0.7974020361381702,0.9957257652147417,4948120,5223410,5367900,5738020,4889930,7180410,6676500,5787940
Hex1Cer(d18:1_21:1),Hex1Cer,13642322,23292533.333333332,0.3079639274261706,8.41828722598655,0.4143069795711958,0.5197915079053428,0.9957257652147417,16734700,14608800,12669740,12093900,12104470,24317000,23619400,21941200
Hex1Cer(d18:1_22:0),Hex1Cer,83897673.12,162782361.33333334,0.48899306888741456,11.120407098860289,1.0526766285883917,0.3048914396735872,0.9957257652147417,87880996.8,97891012.3,88903183.9,61923204.6,82889968,174580986,174266850,139499248
Hex1Cer(d18:1_22:1),Hex1Cer,274730428.6,496659344,0.4178582165567686,12.769276169563362,0.7664611760769448,0.3813140471079557,0.9957257652147417,296278243,186914508,280008221,252505700,357945471,510091980,553473909,426412143
Hex1Cer(d18:1_22:2),Hex1Cer,10369871.6,20581166.666666668,0.5414800116623865,8.106999814127446,1.29338110709765,0.25542578943970196,0.9957257652147417,11383670,9407618,8325610,11235150,11497310,21138800,23268460,17336240
Hex1Cer(d18:1_23:0),Hex1Cer,61126108,96548720,0.22577028671922103,10.507591344169665,0.22179277543216336,0.6376772955763425,0.9957257652147417,45950275,48683308,57822367,67661910,85512680,80709300,132251950,76684910
Hex1Cer(d18:1_23:1),Hex1Cer,39587186,65879800,0.2919697926997936,9.923087987814963,0.3721127799504831,0.5418548684556121,0.9957257652147417,39044600,32770200,40753100,40802530,44565500,66801300,76695400,54142700
Hex1Cer(d18:1_23:2),Hex1Cer,7422820,12086400,0.2611198338263283,7.492223067206036,0.2971952694195332,0.5856461010250004,0.9957257652147417,7377900,5473800,8834100,8049800,7378500,10047300,15288600,10923300
Hex1Cer(d18:1_24:0),Hex1Cer,26626207.6,79293946.66666667,1.1304922278656329,9.76571969128324,5.722766163874185,0.01674632733687916,0.44018917571225213,22451350,24931320,24504570,24951566,36292232,49182150,101138920,87560770
Hex1Cer(d18:1_24:1),Hex1Cer,825927276,1353853766.6666667,0.26309300675916447,14.302527121964737,0.30173203908721413,0.582798619859274,0.9957257652147417,783083730,781933950,901336200,691376810,971905690,1374017000,1514867560,1172676740
Hex1Cer(d18:2_18:0),Hex1Cer,415480,925646.6666666666,0.7017603067243573,3.548456160811116,2.184270230335556,0.13942713625993006,0.9957257652147417,410600,398740,508620,488920,270520,814900,1085700,876340
Hex1Cer(d18:2_22:0),Hex1Cer,14351954,24553160,0.31649562282320354,8.49027202050869,0.43775250727662296,0.5082092238398712,0.9957257652147417,12032490,17227490,13905800,12957880,15636110,25845200,26848440,20965840
Hex1Cer(d18:2_22:1),Hex1Cer,6535867.2,13068646.666666666,0.5577676069155795,7.439788878068406,1.373186251524947,0.24126519513253195,0.9957257652147417,4143768,6424694,6936104,5037110,10137660,13910880,16164870,9130190
Hex1Cer(d18:2_24:0),Hex1Cer,6921014,12354836.666666666,0.41027336236432754,7.448531535005132,0.7386515565538359,0.39009317529289605,0.9957257652147417,5909770,5455610,6370260,6416030,10453400,14209710,11174500,11680300
Hex1Cer(d18:2_24:1),Hex1Cer,27315701.26,21610026.666666668,-0.7133553235488754,8.987620582784885,2.081495518536652,0.14909403818675201,0.9957257652147417,5608599.7,16596497,15127770,14227549.6,85018090,22589510,16580820,25659750
Hex1Cer(d19:1_23:2),Hex1Cer,126426767.6,170636306.66666666,0.0012441379048537939,11.478696336944177,6.671874213493023e-6,0.9979390687549242,0.9979390687549242,122758570,103335160,119074425,141010643,145955040,157187980,155405220,199315720
Hex1Cer(d19:1_24:0),Hex1Cer,2022540,3257833.3333333335,0.24481217597634958,5.617359809790585,0.2610264901701539,0.6094158178416609,0.9957257652147417,1808900,2019100,1767100,1865600,2652000,3519600,3250800,3003100
Hex1Cer(d19:1_24:1),Hex1Cer,22820772,32900610.333333332,0.08492860924795011,9.036121685449293,0.031156088300937856,0.8598926073421733,0.9957257652147417,25769760,15506230,17322960,22854480,32650430,27933610,48026858,22741363
Hex1Cer(d20:1_23:1),Hex1Cer,5313970,11047593.333333334,0.6469052038477987,7.179840525388545,1.8529025572029454,0.1734461868136185,0.9957257652147417,2180260,2095770,17662800,2162190,2468830,3761890,3888190,25492700
Hex1Cer(d20:1_24:0),Hex1Cer,163094.2,285330,0.3675927862118079,2.033250951414244,0.5918581562793954,0.44170147943010524,0.9957257652147417,154790,161430,91741,167130,240380,305670,294280,256040
Hex1Cer(d20:1_24:1),Hex1Cer,3506033.9,6983507.333333333,0.5690068664307495,6.529432047122367,1.42966746927532,0.23181871533225112,0.9957257652147417,2195898.4,2847662.4,3297819.4,4508443.3,4680346,7119952,8755634,5074936
Hex2Cer(d18:1_16:0),Hex2Cer,79547.8,118167.66666666667,0.15305906681419498,0.8876015359177616,0.101556467191255,0.749969747657953,0.9957257652147417,61469,52273,90867,106510,86620,97723,123300,133480
Hex2Cer(d18:1_18:0),Hex2Cer,4376156,6366666.666666667,0.11094068895744116,6.668396215154457,0.05323815839424162,0.817521492226311,0.9957257652147417,4854490,3098300,4189700,4380700,5357590,7856100,5218700,6025200
LPC(18:0),LPC,32159416.8,48551526.666666664,0.1647243372298722,9.568439773989844,0.1177028168597225,0.731539449336163,0.9957257652147417,28343596,23977300,36111790,39359580,33004818,41588570,51438450,52627560
LPC(18:1),LPC,37000093.2,58056824.333333336,0.22791345689198036,9.783521542552288,0.2260469374725494,0.6344705838247017,0.9957257652147417,30261852,25554485,40701176,45559767,42923186,56290979,59492595,58386899
LPC(18:1)+D7:(s),LPC,63792124,57388506.666666664,-0.5892588762078858,14.26973096594069,1.4342608256939653,0.23107032624916726,0.9957257652147417,70136640,56603140,65383260,63311140,63526440,68428960,36054500,67682060
LPC(20:1),LPC,1298982,1658476.6666666667,-0.09169949209868136,4.837905767604596,0.03595240387986465,0.8496138168891298,0.9957257652147417,1196550,1032330,1359300,1485420,1421310,1649470,2311530,1014430
LPE(16:0),LPE,969009.38,1276740,-0.031946699297631394,4.434663978423318,0.0043796471783104085,0.9472353930584106,0.9957257652147417,951553.2,742820.8,893851,1235519.9,1021302,1602854,1220199,1007167
LPE(18:0),LPE,7199411.4,7688481.666666667,-0.3282579207060328,7.23264212726762,0.4536640330753906,0.5006000797280422,0.9957257652147417,6863611,5148412,7370525,8170218,8444291,9145641,6152233,7767571
LPE(18:1),LPE,3086681.04,4884864.8,0.2232815312042826,6.2151132220978935,0.2169029785328272,0.6414098936014101,0.9957257652147417,3270555,2521553,2993431,3104995.2,3542871,4961087,4794595.4,4898912
LPE(18:1)+D7:(s),LPE,2180263.8,2331426.6666666665,-0.33643415431547175,9.243959847681772,0.47627520223503383,0.4901143588713509,0.9957257652147417,2282407,1553884,2432682,2509958,2122388,1969646,2319329,2705305
LPE(20:4),LPE,4383527.2,5299187.333333333,-0.16637594321717533,6.568627710514421,0.11780094716720274,0.7314318871028663,0.9957257652147417,3679843,4111515,3995592,5479749,4650937,4859602,6264077,4773883
LPE(22:4),LPE,1592507.8,1927713.5333333334,-0.17085650219011275,5.114412138190417,0.12419555673373234,0.7245278793081215,0.9957257652147417,1438372,1528156.7,1615375.1,1501981.2,1878654,1894034,2152388.6,1736718
LPE(22:6),LPE,5790974.4,7774341.166666667,-0.01682862156396873,7.026869353077448,0.001216257192324599,0.972179511997657,0.9957257652147417,5128820,5617880,4683677,7186397,6338098,7226664,9018996.5,7077363
LPI(18:0),LPI,61082.8,79946.33333333333,-0.057456883490832666,0.44800159529856193,0.014143647195448805,0.9053331378056634,0.9957257652147417,55764,47635,80418,43423,78174,82124,98041,59674
MG(16:0),MG,89684.6,113734,-0.10260935869564483,5.077172780971104,0.044983500421956535,0.8320343707419297,0.9957257652147417,82566,98498,45918,62344,159097,94558,117423,129221
MG(18:0),MG,72115.24,78492,-0.339733179831904,5.475980562653811,0.48552397949067494,0.48593077789671996,0.9957257652147417,57155.2,106862,36427,61205,98927,62894,77701,94881
PA(15:0_18:1)+D7:(s),PA,177077.4,165612.33333333334,-0.550704837594996,5.6288309967052355,1.2563899689925577,0.2623355279650247,0.9957257652147417,177525,214644,143711,175026,174481,201088,129901,165848
PA(16:0_16:0),PA,465210,671253.3333333334,0.0902335721430099,3.4286961008165595,0.035179820850883614,0.8512193545873652,0.9957257652147417,368840,427710,501950,471170,556380,578780,738800,696180
PA(16:0_16:1),PA,9712.7,30399,1.2567203414886992,-1.6321379263761842,7.079994518352947,0.007794924870896477,0.28685323524899037,4079.7,4193,6356.8,8688,25246,21291,41522,28384
PA(16:0_18:0),PA,833712,1298216.6666666667,0.19899645514019135,4.3150693505090025,0.17207658026979772,0.6782728409526011,0.9957257652147417,782770,742630,778420,907800,956940,1290860,1394540,1209250
