lipid,type,mean1,mean2,logFC,logCPM,LR,PValue,FDR,Z1_sum,Z2_sum,Z3_sum,Z4_sum,Z5_sum,K1_sum,K2_sum,K3_sum
Cer(d16:1_18:0),Cer,574757.2,950466.6666666666,0.2714923581691158,3.8254570346600887,0.32143269936206664,0.570747914618352,0.9957257652147417,773920,379840,748920,49206,921900,238600,1051780,1561020
Cer(d18:0_18:0),Cer,7407026,9626083.333333334,-0.0574076584196844,7.406948114697086,0.014119751782000603,0.9054127645204139,0.9957257652147417,6809010,6170660,7942950,8310010,7802500,9987610,9576640,9314000
Cer(d18:0_23:0),Cer,54700.6,91194.33333333333,0.302682472835741,0.4194398564030603,0.4000946121272646,0.5270403992767136,0.9957257652147417,51462,49447,25558,83964,63072,80475,115770,77338
Cer(d18:0_24:0),Cer,131161.63999999998,215418.86666666667,0.2692727967308903,3.7441736809681716,0.3161584763074421,0.5739254577579299,0.9957257652147417,159538,77143.4,145106,137142,136878.8,150339.6,315570,180347
Cer(d18:0_24:1),Cer,421602.8,768147.3333333334,0.4483562998260267,3.41811299691703,0.8835379168512008,0.3472345001159397,0.9957257652147417,332663,261157,523512,565926,424756,863076,749629,691737
Cer(d18:1_16:0),Cer,1696542.8,2368225.6666666665,0.050237674827196335,5.283367983758934,0.010880574565725998,0.916923348190191,0.9957257652147417,1531102,1518262,1468010,2206360,1758980,2683280,2104300,2317097
Cer(d18:1_17:0),Cer,505136,639100,-0.08029846050140363,3.478526600348999,0.02758672652958305,0.868084137423061,0.9957257652147417,349040,370150,632360,679090,495040,630480,619780,667040
Cer(d18:1_18:0),Cer,249656267.8,363881833.3333333,0.1003501815507038,12.509223853035078,0.043533931627710354,0.8347231418482888,0.9957257652147417,252914336,255877363,187979940,322010000,229499700,397025100,335771500,358848900
Cer(d18:1_18:1),Cer,4477708.2,7983302,0.39670234498901974,7.173261554752308,0.6901934589198868,0.406098585963357,0.9957257652147417,5368890,3288350,4617170,4520090,4594041,13193316,6250440,4506150
Cer(d18:1_19:0),Cer,886613.22,1106440.3333333333,-0.09961259776329703,4.278218673324751,0.04240376590029582,0.83685203780462325,0.9957257652147417,725030.1,574195,1007050,1097370,1029421,1083421,1108230,1127670
Cer(d18:1_20:0),Cer,21370096,29401826.666666668,0.025320878073277524,8.922151592033735,0.002760202682602131,0.9581003114347578,0.9957257652147417,20371620,15466140,26164550,23041000,21807170,25261660,31962400,30981420
Cer(d18:1_20:1),Cer,3463624,5567300,0.2206773147048205,6.6129053707969945,0.21184477636050714,0.6453253137721612,0.9957257652147417,3395100,3405600,4029300,2301020,4187100,6080900,7647900,2973100
Cer(d18:1_21:0),Cer,1401797.8,1633088.6666666667,-0.20072658085632503,4.899532724618296,0.1710874457930469,0.6791471630855483,0.9957257652147417,1085860,838627,1858640,1217562,2008300,1822160,1669170,1407936
Cer(d18:1_22:0),Cer,7319075.6,10825903.333333334,0.1365081449781068,7.417219124122325,0.08071380895403801,0.776332399690129,0.9957257652147417,6130256,6095270,8146230,9905960,6317662,13811170,9391070,9275470
Cer(d18:1_22:1),Cer,26221976.72,30408092.666666668,-0.22751715520163088,9.266672201789639,0.21942138954252033,0.6394811445623414,0.9957257652147417,28745764,15994136.6,30747500,21168688,34453795,24914944,39856890,26452444
Cer(d18:1_22:2),Cer,310438,588596.6666666666,0.47285059650243827,3.0169638456691388,0.9836830130418523,0.3212912179811309,0.9957257652147417,349850,259750,329680,253120,359790,569880,659610,536300
Cer(d18:1_23:0),Cer,4113843.2,6414180,0.2212768753246525,6.614696048644909,0.21300398598829418,0.6444230303799762,0.9957257652147417,3681610,3038610,3061628,4899028,5888340,6837690,5909870,6494980
Cer(d18:2_16:0),Cer,67661.6,98603,0.1004521269933724,1.8332317860484042,0.0436203112315503,0.8345616206947274,0.9957257652147417,57103,73102,60882,95674,51547,102770,96926,96113
Cer(d18:2_18:0),Cer,15831170,20986000,-0.04233359567732494,8.659323236189934,0.0076850662238659995,0.9301433283107833,0.9957257652147417,15545300,15767900,14385550,16441900,17015200,22812600,22619700,17525700
Cer(d18:2_20:0),Cer,188254,302163.3333333333,0.2544529634465875,2.8336470031304253,0.2821167280782234,0.5953171827087808,0.9957257652147417,171240,163850,148450,265400,192330,293060,281530,331900
Cer(d18:2_22:0),Cer,637540,1244420,0.5425444963027879,4.524498136751145,1.298516516781006,0.2544843767562602,0.9957257652147417,589500,482360,619820,835340,660680,989820,1056800,1686640
Cer(d18:2_22:1),Cer,328235.6,791240,0.810588900566586,3.2710142626720864,2.9233747247310573,0.08730509798546009,0.9957257652147417,316800,373660,283770,180348,486600,812040,835580,726100
Cer(d18:2_23:0),Cer,236752.4,371077.6666666667,0.22045195731872322,2.5035473541746938,0.21140746299177016,0.6456664785786805,0.9957257652147417,202300,209300,208542,230240,333380,459220,292210,361803
Cer(d18:2_23:1),Cer,526068,792306.6666666666,0.1374880822462535,3.6340943672124317,0.0818805091114454,0.7747649950189505,0.9957257652147417,420360,539460,592860,416900,660760,867680,983420,525820
Cer(d19:1_18:0),Cer,650521,1159370,0.40923607446623894,4.04666877984999,0.7348853963531727,0.39130421027563944,0.9957257652147417,513015,560760,449740,1116560,612530,1232680,1299030,946400
Cer(d20:1_18:0),Cer,14951160,21309433.333333332,0.0791664033811055,8.423919820498545,0.02706274565347544,0.8693315758158424,0.9957257652147417,11448800,11762500,19091800,17170200,15282500,23426000,23048000,17454300
Cer(d20:1_24:1),Cer,195777.04,287324,0.12186414904087577,4.186011876439188,0.06427429859688999,0.7998635003249596,0.9957257652147417,183132,154063,195290.7,208795,237604.5,294546,281388,286038
Cer(t18:0_22:1),Cer,5085813.6,7525730,0.10567561179136974,6.898402072813645,0.048291269102068934,0.8260637236958496,0.9957257652147417,4748460,5524330,4277220,4589500,6289558,6126630,10239030,6211530
Cer(t18:0_24:1),Cer,8427768,10927746.666666666,-0.0669933882527619,7.554226178916725,0.019218243270565094,0.8897426314838318,0.9957257652147417,5824230,9380570,8315660,9295260,9323120,11303960,10756850,10722430
Ch-D7(),Ch-D7,8929.92,2161.9,-2.542676202870078,6.897250407331649,22.04099734513352,2.668885083206904e-6,3.502174620256472e-4,13834,16710,6934.7,0,7170.9,0,0,6485.7
Ch(),Ch,72229093,78367408.66666667,-0.35113363252299584,13.775757885242836,0.5182743543528998,0.47157872296126135,0.9957257652147417,58773637,97000795,60185995,59767222,85417816,75748385,98593062,60760779
ChE(18:1),ChE,212328,374796.6666666667,0.39673628417337614,2.4124514032813447,0.6903026320948709,0.40606146340013005,0.9957257652147417,193520,153390,202930,291670,220130,379350,361600,383440
ChE(18:1)+D7:(s),ChE,24055832.6,27258441,-0.29899081362680113,12.789131111906947,0.3771297249915424,0.5391433760771326,0.9957257652147417,17562437,36360608,18878914,17913666,29563538,25857085,37755163,18163075
ChE(18:2),ChE,782732,810679,-0.3781809705226985,4.034960530250306,0.6000501148156665,0.4385589056479613,0.9957257652147417,708842,711228,654940,775450,1063200,919778,593589,918670
ChE(19:2),ChE,3278366,4919770,0.13388673007997803,10.79377309497193,0.07763280864378586,0.7805313605624079,0.9957257652147417,3686700,2943840,2644190,2750420,4366680,4571200,5970710,4217400
ChE(20:3),ChE,48122.6,100279.33333333333,0.6097062319384086,0.40150820649661517,1.6437566620753308,0.1998108174237345,0.9957257652147417,45349,59355,33790,55654,46465,90559,81859,128420
ChE(20:5),ChE,208721.8,328144,0.26048756386855265,2.3068242141642155,0.29574360930319266,0.5865631825050217,0.9957257652147417,124182,124146,224184,347340,223757,262643,232740,489049
ChE(22:4),ChE,60743.4,103110,0.3050282839772875,0.6030175242043843,0.4063679029163716,0.5238187950916053,0.9957257652147417,77906,58831,56903,58750,51327,101580,101960,105790
ChE(22:6),ChE,2109085.06,3033270.1333333333,0.08157620664959922,5.627157735699225,0.028739139777943068,0.8653827490668157,0.9957257652147417,2246773.6,2014985.8,2060443.5,2363169.5,1860052.9,3441780.6,2423112.8,3234917
ChE(30:5),ChE,54995.2,49651,-0.5894288034602898,0.11498449987977193,1.4349553433760578,0.23095742322964705,0.9957257652147417,45593,47748,48801,68581,64253,64618,68350,15985
DG(15:0_18:1)+D7:(s),DG,8874556,7202551,-0.7443136199341127,11.130358350795884,2.2604001789199617,0.1327197609734889,0.9957257652147417,9833810,7951260,9234770,9042670,8310270,8535463,5853770,7218420
DG(16:0_16:0),DG,6072300,6118186.666666667,-0.4145253199750429,8.32708069696819,0.7190659043928913,0.39645048045100306,0.9957257652147417,6309800,3720900,5592000,6494600,8244200,8825600,6071300,3457660
DG(16:0_16:1),DG,433612,563243.3333333334,-0.0622666553350327,3.293611725507313,0.01660613148772394,0.8974646458509222,0.9957257652147417,392670,365630,466400,474650,468710,624440,628170,437120
DG(16:0_18:0),DG,10504156,17672080,0.3160586087280533,10.800275180009214,0.4365356151526809,0.5087993235080679,0.9957257652147417,10489870,9166780,10160800,8015580,14687750,16425000,13422700,23168540
DG(16:0_18:1),DG,70997851,99226433.33333333,0.05613074807378193,10.664991624001553,0.013587462882943546,0.9072045581577736,0.9957257652147417,48076910,62920940,68535680,92202095,83253630,98589460,105351780,93738060
DG(16:0_18:2),DG,269912,405000,0.1593720323338236,2.8893892890541593,0.1101461357136766,0.7399778237005004,0.9957257652147417,231760,227570,305620,287630,296980,566130,263120,385750
DG(16:0_20:2),DG,2706932,5243133.333333333,0.49413601772360327,6.183268277632509,1.0751510258370764,0.2997848427759965,0.9957257652147417,3065800,1874700,4194600,225360,4174200,5737600,6663400,3328400
DG(16:0_20:4),DG,29235508,39327770,-0.006680464611840843,9.365583172705772,1.9177792180979925e-4,0.9889509361220398,0.9957257652147417,22251821,27292480,32545329,32096910,31991000,45100320,36722150,36160840
DG(16:0_22:4),DG,13273367,27635965.666666668,0.7395371658957098,8.461321514656493,2.42854461065329,0.11914346949882924,0.9957257652147417,1777799,2374586,3762490,3062020,55389940,3475306,5139414,74293177
DG(16:0_22:6),DG,16501170.8,20456052.666666668,-0.11661255363597536,8.487162410677188,0.05805188692540908,0.8096019360012228,0.9957257652147417,15280442,11649452,15587900,22341540,17646520,18077330,22832930,20457898
DG(17:0_18:1),DG,650825.4,866480,-0.011039095376075805,3.859763459926411,5.235284261317918e-4,0.9817454007831833,0.9957257652147417,474220,449807,828600,726150,775350,673470,964960,961010
DG(18:0_18:0),DG,4837780,8791266.666666666,0.4163446860832594,11.417964144669252,0.7608706034231703,0.38305620680827507,0.9957257652147417,2259800,6330000,4520400,5757400,5321300,8065000,9485800,8823000
DG(18:0_18:1),DG,59212511,98911400.66666667,0.31683123144158687,10.505014114677483,0.4386882153328058,0.5077562783916122,0.9957257652147417,33172737,49764627,61186225,82024343,69914623,83447604,120673460,92613138
DG(18:0_18:2),DG,1830130.4,3617166.6666666665,0.5631504691921203,5.624097074811983,1.400091106799657,0.23670831698899208,0.9957257652147417,1202050,1288350,2326820,1892302,2441130,3947800,3601810,3301890
DG(18:0_20:0),DG,229146,369960,0.2585752440546387,5.293037825219691,0.29139065237292106,0.5893307427468141,0.9957257652147417,196940,206830,235840,221740,284380,407010,303050,399820
DG(18:0_20:1),DG,1317836,3446700,0.9665569610711147,5.596394707944765,4.1717862836674895,0.04110244376763991,0.7562849653245743,1015800,820280,1633300,1581800,1538000,3747800,3739300,2853000
DG(18:0_20:2),DG,173522.4,417026.3333333333,0.8273611824357293,2.59894757074683,3.0469143892831756,0.08089069196584249,0.9957257652147417,103918,167630,172993,172490,250581,411446,534859,304774
DG(18:0_20:3),DG,3689834.36,8950977,0.8628339567012948,6.757930147229044,3.316791965737705,0.06857552076446473,0.9957257652147417,3377754.8,2284543,3284779,4732337,4769758,9689447,8513706,8649778
DG(18:0_20:4),DG,132317993.2,172878838.33333334,-0.060506063648199965,11.546582276168143,0.015682123883762333,0.9003428236644242,0.9957257652147417,152550667,130681237,154459013,124284206,99614843,180996940,99239155,238400420
DG(18:0_22:3),DG,129644.2,346508,0.9891130368156779,2.038971578647165,4.370625494311774,0.03656356810664223,0.7081785822760178,63910,118932,135513,163028,166838,375380,443220,220924
DG(18:0_22:4),DG,5396625,10443252,0.5264066902483354,7.133333298091881,1.2216839786425324,0.26903042355124246,0.9957257652147417,3234417,4078689,5937929,3958710,9773380,7083504,13332672,10913580
DG(18:0_22:6),DG,6298815.8,9036986.666666666,0.08414100600564924,7.185469516510655,0.030579432453988198,0.8611819732778744,0.9957257652147417,5992240,5020628,7171600,6331000,6978611,7608840,9257820,10244300
DG(18:0_24:4),DG,127348.8,287266.3333333333,0.7618249257759098,1.8264944671642986,2.5787268238760612,0.1083087465186166,0.9957257652147417,59018,85122,134090,160500,198014,193239,385980,282580
