LipidMolec,LipidMolecGroup,ClassKey,SubClassKey,FAKey,FAGroupKey,CalcMass,BaseRt,MolFormula,MainIon,IonCnt,IsoCnt,PDBCnt,TotalSmpIDRate(%),TotalGrade,Z1_sum,Z2_sum,Z3_sum,Z4_sum,Z5_sum,K1_sum,K2_sum,K3_sum,blank_sum
Cer(d16:1_18:0),Cer(d34:1),Cer,acylsphingosines,(d16:1_18:0),(d34:1),537.5121,19.1482,C34 H67 N1 O3,M+H,1,2,1,7.69,B,773920,379840,748920,49206,921900,238600,1051780,1561020,19.0402
Cer(d18:0_18:0),Cer(d36:0),Cer,acylsphinganines,(d18:0_18:0),(d36:0),567.559,23.8638,C36 H73 N1 O3,M+H,1,1,1,38.46,A,6809010,6170660,7942950,8310010,7802500,9987610,9576640,9314000,13949.3
Cer(d18:0_23:0),Cer(d41:0),Cer,acylsphinganines,(d18:0_23:0),(d41:0),637.6373,35.4839,C41 H83 N1 O3,M+H,1,1,1,7.69,B,51462,49447,25558,83964,63072,80475,115770,77338,5.5916e-4
Cer(d18:0_24:0),Cer(d42:0),Cer,acylsphinganines,(d18:0_24:0),(d42:0),651.6529,36.2107,C42 H85 N1 O3,M+H,1,1,1,30.77,B,159538,77143.4,145106,137142,136878.8,150339.6,315570,180347,29210
Cer(d18:0_24:1),Cer(d42:1),Cer,acylsphingosines,(d18:0_24:1),(d42:1),649.6373,28.7038,C42 H83 N1 O3,M+H,1,2,0,7.69,B,332663,261157,523512,565926,424756,863076,749629,691737,0
Cer(d18:1_16:0),Cer(d34:1),Cer,acylsphingosines,(d18:1_16:0),(d34:1),537.5121,19.0346,C34 H67 N1 O3,M+H,2,2,1,92.31,A,1531102,1518262,1468010,2206360,1758980,2683280,2104300,2317097,475.347149
Cer(d18:1_17:0),Cer(d35:1),Cer,acylsphingosines,(d18:1_17:0),(d35:1),551.5277,20.8264,C35 H69 N1 O3,M+H,2,1,1,92.31,A,349040,370150,632360,679090,495040,630480,619780,667040,237.93
Cer(d18:1_17:2),Cer(d35:3),Cer,acylsphingosines,(d18:1_17:2),(d35:3),547.4964,26.6331,C35 H65 N1 O3,M+H,1,1,0,7.69,C,1346500,1307600,1263800,1237600,1248400,980680,1156700,927630,1143300
Cer(d18:1_18:0),Cer(d36:1),Cer,acylsphingosines,(d18:1_18:0),(d36:1),565.5434,22.529,C36 H71 N1 O3,M+H,2,2,1,61.54,A,252914336,255877363,187979940,322010000,229499700,397025100,335771500,358848900,1478.77
Cer(d18:1_18:1),Cer(d36:2),Cer,acylsphingosines,(d18:1_18:1),(d36:2),563.5277,18.6621,C36 H69 N1 O3,M+H,1,2,1,46.15,A,5368890,3288350,4617170,4520090,4594041,13193316,6250440,4506150,87842
Cer(d18:1_19:0),Cer(d37:1),Cer,acylsphingosines,(d18:1_19:0),(d37:1),579.559,24.6666,C37 H73 N1 O3,M+H,2,5,1,76.92,A,725030.1,574195,1007050,1097370,1029421,1083421,1108230,1127670,281.82942
Cer(d18:1_20:0),Cer(d38:1),Cer,acylsphingosines,(d18:1_20:0),(d38:1),593.5747,26.7091,C38 H75 N1 O3,M+H,2,4,1,46.15,A,20371620,15466140,26164550,23041000,21807170,25261660,31962400,30981420,384.8144
Cer(d18:1_20:1),Cer(d38:2),Cer,acylsphingosines,(d18:1_20:1),(d38:2),591.559,22.0341,C38 H73 N1 O3,M+H,1,3,0,38.46,A,3395100,3405600,4029300,2301020,4187100,6080900,7647900,2973100,39497.9
Cer(d18:1_21:0),Cer(d39:1),Cer,acylsphingosines,(d18:1_21:0),(d39:1),607.5903,29.2882,C39 H77 N1 O3,M+H,1,3,1,23.08,A,1085860,838627,1858640,1217562,2008300,1822160,1669170,1407936,150.7072803896
Cer(d18:1_22:0),Cer(d40:1),Cer,acylsphingosines,(d18:1_22:0),(d40:1),621.606,27.3372,C40 H79 N1 O3,M+H,2,3,1,15.38,A,6130256,6095270,8146230,9905960,6317662,13811170,9391070,9275470,1.7160680000000002e-5
Cer(d18:1_22:1),Cer(d40:2),Cer,acylsphingosines,(d18:1_22:1),(d40:2),619.5903,26.1985,C40 H77 N1 O3,M+H,2,3,0,38.46,A,28745764,15994136.6,30747500,21168688,34453795,24914944,39856890,26452444,163625.4
Cer(d18:1_22:2),Cer(d40:3),Cer,acylsphingosines,(d18:1_22:2),(d40:3),617.5747,21.8843,C40 H75 N1 O3,M+H,1,2,0,7.69,A,349850,259750,329680,253120,359790,569880,659610,536300,0
Cer(d18:1_23:0),Cer(d41:1),Cer,acylsphingosines,(d18:1_23:0),(d41:1),635.6216,29.8881,C41 H81 N1 O3,M+H,2,4,1,23.08,A,3681610,3038610,3061628,4899028,5888340,6837690,5909870,6494980,751.02
Cer(d18:1_23:1),Cer(d41:2),Cer,acylsphingosines,(d18:1_23:1),(d41:2),633.606,24.8305,C41 H79 N1 O3,M+H-H2O,1,4,2,7.69,C,16024520,14939996,19627710,17699550,14665190,21836380,32176100,26969460,0
Cer(d18:1_24:0),Cer(d42:1),Cer,acylsphingosines,(d18:1_24:0),(d42:1),649.6373,32.5864,C42 H83 N1 O3,M+H-H2O,1,2,1,15.38,C,2509405.8,2637240,3618052,7037729,4690174,6353594,5683396,7184572,1282.3
Cer(d18:1_24:1),Cer(d42:2),Cer,acylsphingosines,(d18:1_24:1),(d42:2),647.6216,22.3965,C42 H81 N1 O3,M+H-H2O,1,4,2,23.08,C,55314661,54956368,78303644,67912752,112502642,151127779,156973903,111944343,163048.04
Cer(d18:2_16:0),Cer(d34:2),Cer,acylsphingosines,(d18:2_16:0),(d34:2),535.4964,16.8266,C34 H65 N1 O3,M+H,1,1,1,7.69,A,57103,73102,60882,95674,51547,102770,96926,96113,5692
Cer(d18:2_18:0),Cer(d36:2),Cer,acylsphingosines,(d18:2_18:0),(d36:2),563.5277,19.6779,C36 H69 N1 O3,M+H,1,2,1,46.15,A,15545300,15767900,14385550,16441900,17015200,22812600,22619700,17525700,137127
Cer(d18:2_20:0),Cer(d38:2),Cer,acylsphingosines,(d18:2_20:0),(d38:2),591.559,23.4759,C38 H73 N1 O3,M+H,1,3,1,23.08,A,171240,163850,148450,265400,192330,293060,281530,331900,7399.1
Cer(d18:2_22:0),Cer(d40:2),Cer,acylsphingosines,(d18:2_22:0),(d40:2),619.5903,28.035,C40 H77 N1 O3,M+H,1,3,1,15.38,A,589500,482360,619820,835340,660680,989820,1056800,1686640,17845.4
Cer(d18:2_22:1),Cer(d40:3),Cer,acylsphingosines,(d18:2_22:1),(d40:3),617.5747,23.025,C40 H75 N1 O3,M+H,1,2,0,15.38,A,316800,373660,283770,180348,486600,812040,835580,726100,0
Cer(d18:2_23:0),Cer(d41:2),Cer,acylsphingosines,(d18:2_23:0),(d41:2),633.606,30.629,C41 H79 N1 O3,M+H,1,4,1,38.46,A,202300,209300,208542,230240,333380,459220,292210,361803,0
Cer(d18:2_23:1),Cer(d41:3),Cer,acylsphingosines,(d18:2_23:1),(d41:3),631.5903,25.1589,C41 H77 N1 O3,M+H,1,1,0,7.69,A,420360,539460,592860,416900,660760,867680,983420,525820,0.084646
Cer(d18:2_24:1),Cer(d42:3),Cer,acylsphingosines,(d18:2_24:1),(d42:3),645.606,27.505,C42 H79 N1 O3,M+H-H2O,1,1,0,23.08,C,298566,375010,285270,479000,694360,903760,635690,515510,0
