LipidMolec,LipidMolecGroup,ClassKey,SubClassKey,FAKey,FAGroupKey,CalcMass,BaseRt,MolFormula,MainIon,IonCnt,IsoCnt,PDBCnt,TotalSmpIDRate(%),TotalGrade,Z1_sum,Z2_sum,Z3_sum,Z4_sum,Z5_sum,K1_sum,K2_sum,K3_sum,blank_sum
Cer(d18:2_40:5),Cer(d58:7),Cer,acylceramides,(d18:2_40:5),(d58:7),875.7731,37.039,C58 H101 N1 O4,M+H,1,1,0,76.92,C,153130,137860,87484,74329,161080,190810,232160,207380,0
Cer(d19:1_18:0),Cer(d37:1),Cer,acylsphingosines,(d19:1_18:0),(d37:1),579.559,24.4365,C37 H73 N1 O3,M+H,1,5,1,7.69,A,513015,560760,449740,1116560,612530,1232680,1299030,946400,559.49
Cer(d19:1_24:1),Cer(d43:2),Cer,acylsphingosines,(d19:1_24:1),(d43:2),661.6373,29.3092,C43 H83 N1 O3,M+H,2,3,1,7.69,C,865810,627413,1080370,1274930,976660,1819010,1530560,1262660,0
Cer(d19:1_35:0),Cer(d54:1),Cer,acylceramides,(d19:1_35:0),(d54:1),831.8044,39.5027,C54 H105 N1 O4,M+H,1,1,2,46.15,C,236926,206874,282923,331184,232273,268990,330376,322902,16.063
Cer(d20:1_18:0),Cer(d38:1),Cer,acylsphingosines,(d20:1_18:0),(d38:1),593.5747,26.6431,C38 H75 N1 O3,M+H,2,4,0,61.54,A,11448800,11762500,19091800,17170200,15282500,23426000,23048000,17454300,380.82
Cer(d20:1_19:0),Cer(d39:1),Cer,acylsphingosines,(d20:1_19:0),(d39:1),607.5903,29.2273,C39 H77 N1 O3,M+H,1,3,3,15.38,C,39652,39818,78885,25890,53310,111950,60450,124370,2.6825e-8
Cer(d20:1_23:0),Cer(d43:1),Cer,acylsphingosines,(d20:1_23:0),(d43:1),663.6529,36.4176,C43 H85 N1 O3,M+H,1,1,1,15.38,C,205040,193362,269840,331600,333980,451100,395620,420640,0
Cer(d20:1_24:1),Cer(d44:2),Cer,acylsphingosines,(d20:1_24:1),(d44:2),675.6529,35.2851,C44 H85 N1 O3,M+H,1,1,0,7.69,A,183132,154063,195290.7,208795,237604.5,294546,281388,286038,39013
Cer(d41:1),Cer(d41:1),Cer,acylsphingosines,(d41:1),(d41:1),635.6216,30.1812,C41 H81 N1 O3,M+H,1,4,1,7.69,C,67815,106310,78381,41183,84948,47280,172160,146950,0
Cer(m18:0_22:0),Cer(m40:0),Cer,1-deoxyceramides,(m18:0_22:0),(m40:0),607.6267,35.4818,C40 H81 N1 O2,M+H,1,1,0,61.54,C,143150,114480,174330,78906,183780,210270,226920,198660,13467
Cer(m18:0_23:0),Cer(m41:0),Cer,1-deoxyceramides,(m18:0_23:0),(m41:0),621.6424,36.1895,C41 H83 N1 O2,M+H,1,1,0,84.62,C,119690,86045,73946,151810,142520,121210,183630,170820,6619.1
Cer(m18:0_24:0),Cer(m42:0),Cer,1-deoxyceramides,(m18:0_24:0),(m42:0),635.658,36.8333,C42 H85 N1 O2,M+H,1,2,0,92.31,C,167100,149300,151760,183950,178430,255390,265880,299940,17550
Cer(m18:0_24:1),Cer(m42:1),Cer,1-deoxyceramides,(m18:0_24:1),(m42:1),633.6424,35.422,C42 H83 N1 O2,M+H,1,1,0,7.69,C,57295,39792,84641,29467,32317,36734,120160,47156,0
Cer(m22:1_18:1),Cer(m40:2),Cer,1-deoxyceramides,(m22:1_18:1),(m40:2),603.5954,27.6104,C40 H77 N1 O2,M+H,1,1,0,7.69,C,345130,377710,229440,382050,199470,451950,499230,532610,0
Cer(m42:2),Cer(m42:2),Cer,1-deoxyceramides,(m42:2),(m42:2),631.6267,32.5628,C42 H81 N1 O2,M+H,1,1,0,7.69,C,22924,26921,6007.6,40416,73634,2209200,197140,13363,0
Cer(t11:0_14:1),Cer(t25:1),Cer,phytoceramides,(t11:0_14:1),(t25:1),427.3662,8.1959,C25 H49 N1 O4,M+H,1,1,0,7.69,C,587820,488830,286080,158590,857500,727150,749990,827240,0
Cer(t18:0_20:1),Cer(t38:1),Cer,phytoceramides,(t18:0_20:1),(t38:1),609.5696,22.1109,C38 H75 N1 O4,M+H,1,1,0,69.23,C,1075340,1078370,1152510,1004050,1077390,1976130,2221800,1904700,567.8
Cer(t18:0_21:1),Cer(t39:1),Cer,phytoceramides,(t18:0_21:1),(t39:1),623.5853,24.0854,C39 H77 N1 O4,M+H,1,1,0,15.38,C,568760,278380,580460,489240,664460,935960,936300,555930,0
Cer(t18:0_22:1),Cer(t40:1),Cer,phytoceramides,(t18:0_22:1),(t40:1),637.6009,26.3912,C40 H79 N1 O4,M+H,1,2,0,46.15,B,4748460,5524330,4277220,4589500,6289558,6126630,10239030,6211530,0
Cer(t18:0_23:1),Cer(t41:1),Cer,phytoceramides,(t18:0_23:1),(t41:1),651.6166,28.5728,C41 H81 N1 O4,M+H,1,2,0,23.08,C,5285398,7729630,9263148,6675900,10949520,12724448,15216026,13086520,2.8796e-8
Cer(t18:0_24:1),Cer(t42:1),Cer,phytoceramides,(t18:0_24:1),(t42:1),665.6322,28.774,C42 H83 N1 O4,M+H,1,2,0,23.08,B,5824230,9380570,8315660,9295260,9323120,11303960,10756850,10722430,0
Cer(t22:0_18:1),Cer(t40:1),Cer,phytoceramides,(t22:0_18:1),(t40:1),637.6009,26.4818,C40 H79 N1 O4,M+H-H2O,1,2,0,7.69,C,6825100,3159200,7417200,1858100,8243200,5479700,9032200,4176400,10099
Cer(t42:2),Cer(t42:2),Cer,phytoceramides,(t42:2),(t42:2),663.6166,25.9296,C42 H81 N1 O4,M+H,1,1,0,7.69,C,2555100,1267000,2845700,2756600,2915100,3337400,4919000,2594000,0
CerPE(d17:0_23:2),CerPE(d40:2),CerPE,Ceramide phosphoethanolamines,(d17:0_23:2),(d40:2),742.5989,24.048,C42 H83 N2 O6 P1,M+Na,1,1,3,15.38,C,196425,357130,69284.6,314230,202257,151324,238270,134588.4,8.242500077809
CerPE(d18:1_19:1),CerPE(d37:2),CerPE,Ceramide phosphoethanolamines,(d18:1_19:1),(d37:2),700.5519,14.7632,C39 H77 N2 O6 P1,M+H,1,2,3,7.69,C,1813850,1714370,1766410,2199790,1945260,4824700,3758840,3199290,0
CerPE(d18:1_21:1),CerPE(d39:2),CerPE,Ceramide phosphoethanolamines,(d18:1_21:1),(d39:2),728.5832,16.9351,C41 H81 N2 O6 P1,M+H,1,1,3,7.69,C,1550600,10614000,26488000,7495700,34141000,20608000,49275000,2163500,0
CerPE(d18:2_19:0),CerPE(d37:2),CerPE,Ceramide phosphoethanolamines,(d18:2_19:0),(d37:2),700.5519,15.2544,C39 H77 N2 O6 P1,M+H,1,2,3,7.69,C,328940,324280,211890,473380,452490,804950,766360,795590,0
Ch-D7(),Ch-D7,Ch-D7,Dlabeled Ch,NA,NA,393.3988,17.9766,C27 H39 D7 O1,M+H-H2O,1,1,0,7.69,A,13834,16710,6934.7,0,7170.9,0,0,6485.7,340190
Ch(),Ch,Ch,cholesterol,NA,NA,386.3549,18.1516,C27 H46 O1,M+H-H2O,1,1,0,7.69,A,58773637,97000795,60185995,59767222,85417816,75748385,98593062,60760779,35712839.6398
ChE(18:1),ChE(18:1),ChE,sterolEsters,(18:1),(18:1),650.6002,45.3796,C45 H78 O2,M+NH4,1,1,0,84.62,A,193520,153390,202930,291670,220130,379350,361600,383440,0
ChE(18:1)+D7:(s),ChE(18:1)+D7:(s),ChE,D7 labeled FA,(18:1)+D7:(s),(18:1)+D7:(s),657.6441,45.1879,C45 H71 D7 O2,M+NH4,2,1,0,46.15,A,17562437,36360608,18878914,17913666,29563538,25857085,37755163,18163075,18746964
ChE(18:2),ChE(18:2),ChE,sterolEsters,(18:2),(18:2),648.5845,43.5399,C45 H76 O2,M+NH4,1,1,0,30.77,A,708842,711228,654940,775450,1063200,919778,593589,918670,669.5104
ChE(19:2),ChE(19:2),ChE,sterolEsters,(19:2),(19:2),662.6002,45.1903,C46 H78 O2,M+NH4,1,1,0,15.38,A,3686700,2943840,2644190,2750420,4366680,4571200,5970710,4217400,4851300
ChE(20:3),ChE(20:3),ChE,sterolEsters,(20:3),(20:3),674.6002,43.8094,C47 H78 O2,M+NH4,1,1,0,15.38,A,45349,59355,33790,55654,46465,90559,81859,128420,0
ChE(20:5),ChE(20:5),ChE,sterolEsters,(20:5),(20:5),670.5689,41.1271,C47 H74 O2,M+NH4,1,1,0,15.38,A,124182,124146,224184,347340,223757,262643,232740,489049,0
ChE(22:4),ChE(22:4),ChE,sterolEsters,(22:4),(22:4),700.6158,44.1441,C49 H80 O2,M+NH4,1,1,0,23.08,A,77906,58831,56903,58750,51327,101580,101960,105790,0
ChE(22:6),ChE(22:6),ChE,sterolEsters,(22:6),(22:6),696.5845,41.669,C49 H76 O2,M+NH4,1,1,0,46.15,A,2246773.6,2014985.8,2060443.5,2363169.5,1860052.9,3441780.6,2423112.8,3234917,927.1600013835
ChE(30:5),ChE(30:5),ChE,sterolEsters,(30:5),(30:5),810.7254,48.6965,C57 H94 O2,M+NH4,1,1,0,7.69,A,45593,47748,48801,68581,64253,64618,68350,15985,0
CL(68:3),CL(68:3),CL,diacyl-diacyl,(68:3),(68:3),1402.9879,37.5878,C77 H144 O17 P2,M+Na,1,1,0,7.69,C,144369,152949,325804,523166,486987,425790,715130,646569,0
CL(68:4),CL(68:4),CL,diacyl-diacyl,(68:4),(68:4),1400.9722,38.0348,C77 H142 O17 P2,M+Na,1,1,0,7.69,C,98334,86041,104990,93936,133450,122530,108980,161640,0
CL(70:2),CL(70:2),CL,diacyl-diacyl,(70:2),(70:2),1433.0348,39.0246,C79 H150 O17 P2,M+Na,1,1,0,23.08,C,1879000,1323900,1593200,566680,17177,2205600,258320,1591700,0
CL(70:3),CL(70:3),CL,diacyl-diacyl,(70:3),(70:3),1431.0192,38.3195,C79 H148 O17 P2,M+Na,1,1,0,7.69,C,4270110,2013660,2894800,3355290,3197770,3054450,3525847,2277350,0
CL(70:4),CL(70:4),CL,diacyl-diacyl,(70:4),(70:4),1429.0035,37.9678,C79 H146 O17 P2,M+Na,1,1,0,7.69,C,4825610,4341420,6190540,5088682,5101957,5946740,5661760,6378940,0
CL(70:5),CL(70:5),CL,diacyl-diacyl,(70:5),(70:5),1426.9879,37.2496,C79 H144 O17 P2,M+Na,1,1,0,7.69,C,712671,597010,1376370,1512350,1348610,851330,1409470,639430,0
CL(70:6),CL(70:6),CL,diacyl-diacyl,(70:6),(70:6),1424.9722,36.9141,C79 H142 O17 P2,M+Na,1,1,0,7.69,C,573300,445310,599130,543890,507790,578490,581940,576810,0
CL(70:7),CL(70:7),CL,diacyl-diacyl,(70:7),(70:7),1422.9566,37.2865,C79 H140 O17 P2,M+Na,1,1,0,7.69,C,41803,6382.5,98796,87464,24353,97424,153620,102890,0
CL(72:10),CL(72:10),CL,diacyl-diacyl,(72:10),(72:10),1444.9409,36.3982,C81 H138 O17 P2,M+Na,1,1,0,7.69,C,58955,47624,57757,56097,51001,89504,82902,88351,0
CL(72:3),CL(72:3),CL,diacyl-diacyl,(72:3),(72:3),1459.0505,39.1065,C81 H152 O17 P2,M+Na,1,1,0,23.08,C,696940,779830,814460,933830,1219000,1515200,1223300,1288400,0
CL(72:4),CL(72:4),CL,diacyl-diacyl,(72:4),(72:4),1457.0348,38.8479,C81 H150 O17 P2,M+Na,1,1,0,7.69,C,8236268,8137690,11115220,11585170,8906940,11617420,10387080,13373420,0
CL(72:5),CL(72:5),CL,diacyl-diacyl,(72:5),(72:5),1455.0192,38.096,C81 H148 O17 P2,M+Na,1,1,0,15.38,C,7140220,6718600,9097820,11544800,9452750,11015000,11720400,9897300,0
CL(72:6),CL(72:6),CL,diacyl-diacyl,(72:6),(72:6),1453.0035,37.7678,C81 H146 O17 P2,M+Na,1,1,0,7.69,C,3822610,4061880,4993590,5556300,5902500,5845260,5816500,5583100,0
CL(72:7),CL(72:7),CL,diacyl-diacyl,(72:7),(72:7),1450.9879,37.101,C81 H144 O17 P2,M+Na,1,1,0,15.38,C,4745420,4412046,3965170,5252690,5561610,5200270,6001780,5674346,0
CL(72:8),CL(72:8),CL,diacyl-diacyl,(72:8),(72:8),1448.9722,36.6184,C81 H142 O17 P2,M+Na,1,1,0,46.15,C,419376.9,416301,221800,991950,878260,1041540,657430,442986.3,0
CL(74:10),CL(74:10),CL,diacyl-diacyl,(74:10),(74:10),1472.9722,36.3997,C83 H142 O17 P2,M+Na,1,1,0,7.69,C,1292061.491,1478710,1545800,1445013,1901350,1897720,2369850,2611670,0
CL(74:11),CL(74:11),CL,diacyl-diacyl,(74:11),(74:11),1470.9566,36.6036,C83 H140 O17 P2,M+Na,1,1,0,30.77,C,81275,72052,137100,117870,143460,153110,82451,126730,0
CL(74:6),CL(74:6),CL,diacyl-diacyl,(74:6),(74:6),1481.0348,38.3078,C83 H150 O17 P2,M+Na,1,1,0,7.69,C,5896900,8898780,13759100,16028900,15994600,9097800,11536030,17319400,0
CL(74:7),CL(74:7),CL,diacyl-diacyl,(74:7),(74:7),1479.0192,37.9592,C83 H148 O17 P2,M+Na,1,1,0,15.38,C,10222730,10183200,13295520,13519010,13999220,14117610,14412430,13407740,0
CL(74:8),CL(74:8),CL,diacyl-diacyl,(74:8),(74:8),1477.0035,37.3167,C83 H146 O17 P2,M+Na,1,1,0,92.31,C,2876320,2212490,4704920,4226200,3414450,3949700,3528090,4305010,0
CL(74:9),CL(74:9),CL,diacyl-diacyl,(74:9),(74:9),1474.9879,36.9611,C83 H144 O17 P2,M+Na,1,1,0,7.69,C,1596520,1720280,1733290,2579630,1952500,2807280,2452450,3043760,0
CL(76:10),CL(76:10),CL,diacyl-diacyl,(76:10),(76:10),1501.0035,37.1098,C85 H146 O17 P2,M+Na,1,1,0,23.08,C,2717387,2390750,2419610,3417360,3485900,2905039,3184920,3957847,0
CL(76:11),CL(76:11),CL,diacyl-diacyl,(76:11),(76:11),1498.9879,36.7638,C85 H144 O17 P2,M+Na,1,1,0,7.69,C,470610,517370,548530,374910,522610,535020,638180,749620,0
CL(76:12),CL(76:12),CL,diacyl-diacyl,(76:12),(76:12),1496.9722,36.9317,C85 H142 O17 P2,M+Na,1,1,0,69.23,C,315420,283940,375350,403180,381670,523430,484940,359670,0
CL(76:8),CL(76:8),CL,diacyl-diacyl,(76:8),(76:8),1505.0348,38.1249,C85 H150 O17 P2,M+Na,1,1,0,7.69,C,340840,651020,898750,1004800,867570,1044300,692950,366630,0
CL(76:9),CL(76:9),CL,diacyl-diacyl,(76:9),(76:9),1503.0192,37.7551,C85 H148 O17 P2,M+Na,1,1,0,30.77,C,5959850,5991880,6714840,6921160,4903290,6637980,6770940,7514000,0
CL(78:11),CL(78:11),CL,diacyl-diacyl,(78:11),(78:11),1527.0192,37.5519,C87 H148 O17 P2,M+Na,1,1,0,76.92,C,1864680,2048110,1244430,2313640,2380950,2643460,3096270,2641650,453.4202589
CL(78:12),CL(78:12),CL,diacyl-diacyl,(78:12),(78:12),1525.0035,36.9181,C87 H146 O17 P2,M+Na,1,1,0,38.46,C,1648490,1865330,2392060,2486010,2439500,2525500,2482080,2220300,0
CL(78:13),CL(78:13),CL,diacyl-diacyl,(78:13),(78:13),1522.9879,37.0912,C87 H144 O17 P2,M+Na,1,1,0,69.23,C,751460,795200,1026580,1022800,1029580,1216560,1126870,1148680,0
CL(78:14),CL(78:14),CL,diacyl-diacyl,(78:14),(78:14),1520.9722,36.7125,C87 H142 O17 P2,M+Na,1,1,0,7.69,C,54431,31588,91482,85923,90620,118110,105810,151890,0
CL(80:14),CL(80:14),CL,diacyl-diacyl,(80:14),(80:14),1549.0035,36.7221,C89 H146 O17 P2,M+Na,1,1,0,76.92,C,1091370,1157140,1377780,1418740,1522950,1421320,1452720,1570660,0
CL(80:15),CL(80:15),CL,diacyl-diacyl,(80:15),(80:15),1546.9879,36.9153,C89 H144 O17 P2,M+Na,1,1,0,53.85,C,295128,252261,509780,424099,493080,619260,670760,886400,0
CL(82:17),CL(82:17),CL,diacyl-diacyl,(82:17),(82:17),1570.9879,36.7358,C91 H144 O17 P2,M+Na,1,1,0,76.92,C,193870,134030,222020,212770,204750,287660,252910,238800,0
DG(15:0_18:1)+D7:(s),DG(33:1)+D7:(s),DG,Dlabeled FA,(15:0_18:1)+D7:(s),(33:1)+D7:(s),587.5506,23.8626,C36 H61 D7 O5,M+NH4,1,1,0,15.38,A,9833810,7951260,9234770,9042670,8310270,8535463,5853770,7218420,5914540
DG(16:0_16:0),DG(32:0),DG,diacyl,(16:0_16:0),(32:0),568.5067,25.9692,C35 H68 O5,M+NH4,1,2,2,30.77,A,6309800,3720900,5592000,6494600,8244200,8825600,6071300,3457660,565310
DG(16:0_16:1),DG(32:1),DG,diacyl,(16:0_16:1),(32:1),566.491,22.3114,C35 H66 O5,M+NH4,1,1,1,30.77,A,392670,365630,466400,474650,468710,624440,628170,437120,471.3
DG(16:0_18:0),DG(34:0),DG,diacyl,(16:0_18:0),(34:0),596.538,30.3935,C37 H72 O5,M+NH4,1,1,2,7.69,A,10489870,9166780,10160800,8015580,14687750,16425000,13422700,23168540,4351684
DG(16:0_18:1),DG(34:1),DG,diacyl,(16:0_18:1),(34:1),594.5223,26.1164,C37 H70 O5,M+NH4,1,2,4,15.38,A,48076910,62920940,68535680,92202095,83253630,98589460,105351780,93738060,23260.1
DG(16:0_18:2),DG(34:2),DG,diacyl,(16:0_18:2),(34:2),592.5067,23.0366,C37 H68 O5,M+NH4,1,1,1,23.08,A,231760,227570,305620,287630,296980,566130,263120,385750,2999.9
DG(16:0_20:2),DG(36:2),DG,diacyl,(16:0_20:2),(36:2),620.538,26.5214,C39 H72 O5,M+NH4,1,5,1,7.69,A,3065800,1874700,4194600,225360,4174200,5737600,6663400,3328400,4000.8
DG(16:0_20:4),DG(36:4),DG,diacyl,(16:0_20:4),(36:4),616.5067,22.3233,C39 H68 O5,M+NH4,1,1,1,38.46,A,22251821,27292480,32545329,32096910,31991000,45100320,36722150,36160840,1052.0200077302
DG(16:0_22:4),DG(38:4),DG,diacyl,(16:0_22:4),(38:4),644.538,24.9648,C41 H72 O5,M+NH4,1,5,1,23.08,A,1777799,2374586,3762490,3062020,55389940,3475306,5139414,74293177,5.855740000000001e-7
DG(16:0_22:6),DG(38:6),DG,diacyl,(16:0_22:6),(38:6),640.5067,21.0669,C41 H68 O5,M+NH4,1,1,1,23.08,A,15280442,11649452,15587900,22341540,17646520,18077330,22832930,20457898,0
DG(16:0_25:7),DG(41:7),DG,diacyl,(16:0_25:7),(41:7),680.538,25.4612,C44 H72 O5,M+Na,1,1,1,7.69,C,480000,422710,495480,368980,527370,687170,821930,643820,0
DG(17:0_18:1),DG(35:1),DG,diacyl,(17:0_18:1),(35:1),608.538,28.7142,C38 H72 O5,M+NH4,1,1,1,15.38,A,474220,449807,828600,726150,775350,673470,964960,961010,6.59936
DG(18:0_18:0),DG(36:0),DG,diacyl,(18:0_18:0),(36:0),624.5693,35.2226,C39 H76 O5,M+NH4,1,2,2,7.69,A,2259800,6330000,4520400,5757400,5321300,8065000,9485800,8823000,7464600
DG(18:0_18:1),DG(36:1),DG,diacyl,(18:0_18:1),(36:1),622.5536,31.1196,C39 H74 O5,M+NH4,2,5,1,15.38,A,33172737,49764627,61186225,82024343,69914623,83447604,120673460,92613138,31256.3
DG(18:0_18:2),DG(36:2),DG,diacyl,(18:0_18:2),(36:2),620.538,27.2589,C39 H72 O5,M+NH4,1,5,1,15.38,A,1202050,1288350,2326820,1892302,2441130,3947800,3601810,3301890,3207.6
DG(18:0_20:0),DG(38:0),DG,diacyl,(18:0_20:0),(38:0),652.6006,36.7301,C41 H80 O5,M+NH4,1,1,2,46.15,A,196940,206830,235840,221740,284380,407010,303050,399820,96156
DG(18:0_20:1),DG(38:1),DG,diacyl,(18:0_20:1),(38:1),650.5849,35.3229,C41 H78 O5,M+NH4,1,4,1,92.31,A,1015800,820280,1633300,1581800,1538000,3747800,3739300,2853000,24199
DG(18:0_20:2),DG(38:2),DG,diacyl,(18:0_20:2),(38:2),648.5693,32.4456,C41 H76 O5,M+NH4,1,2,1,7.69,A,103918,167630,172993,172490,250581,411446,534859,304774,2926.1800000000003
DG(18:0_20:3),DG(38:3),DG,diacyl,(18:0_20:3),(38:3),646.5536,28.5457,C41 H74 O5,M+NH4,1,3,1,23.08,A,3377754.8,2284543,3284779,4732337,4769758,9689447,8513706,8649778,2052.649350028072
