ClassKey,Z1_TotalIonIntensity,Z2_TotalIonIntensity,Z3_TotalIonIntensity,Z4_TotalIonIntensity,Z5_TotalIonIntensity,K1_TotalIonIntensity,K2_TotalIonIntensity,K3_TotalIonIntensity
CL,75334329.391,74224774.5,96446389,105694310,98518205,102107407,103645110,111343689.3
Cer,467610123.9,448980065,455299270.3,563546479,534054593.3,786511982.6,760466404,688721479
CerPE,3889815,13009780,28535584.6,10483100,36741007,26388974,54038470,6292968.4
Ch,58773637,97000795,60185995,59767222,85417816,75748385,98593062,60760779
Ch-D7,13834,16710,6934.7,0,7170.9,0,0,6485.7
ChE,24691302.6,42474131.8,24805095.5,24624700.5,37459402.9,35688593.6,47589083.8,27656746
DG,442119046.14,424449676.5,527396598.552,567460961.7,539786540,683569190.3,642515218.5,771683382.3
FA,9414492,9898798,11614540,14999908,12817915,13063753,12891372,13111126
GM1,1606800,1044860,2010010,1273350,2264380,1858660,2031790,1299310
GM2,180750,156000,230870,242970,242820,242930,250490,225060
GM3,1217879,1463523,3432391,1841331,1681268,1425785,2796972,3384273
Hex1Cer,1680657100.476,1548636335.2,1821267172.3,1591867152.6,2126289260.8,2843402171.000011,3216896142.6,2575377196
Hex2Cer,4953763,3173875,4344232,4566399,5509282,7993568,5399412,6218651
LPC,228226033.8433,206585637.4,274341175.3,277658501.4,269796153.9078,331508237.7,320856680.3849,349567293.50450003
LPE,25977523.2,23202914.7,26706209.9,31973483.3,30642932.4,35247936,36165372,33561775
LPG,155488,150222,160512,193848,199264,246618,249546,221642
LPI,55764,47635,80418,43423,78174,82124,98041,59674
LPS,258332,196370,244021,402790,272384,274636,325310,171811.5
MG,357175.2,614055,377989,593521,702464,853212,806404,922932
PA,52515157.6369,42654279.18,53808970.5,44376909,54289062,80843712,86619096,70399689
PC,29743307065.745,29233694551.53654,33894536794.566532,44294285503.93625,37383096529.67727,41425518585.13138,34635109565.908615,42756234875.725784
PE,8150216080.323,8068450416.586302,9567840400.60808,10244644791.373137,10002034482.3816,11620340861.80839,12439276747.73289,11195269550.913204
PG,20374046.654,17200878.875,22732050.51,25104932.6,21271064.5,25636998.99,23831332.699,26580655.896
PI,134506968.885,97929943.81,108282943.4,107771687.05,129988090.64,125151237.24,137427379.2,135519616.83
PS,359935707.329,376573060.9068604,449097181.549,396796275.4232,427792722,602427334.619,654913724.53,528958961.9882
SM,1127720397.995002,851177925.5200006,1290907305.4518,1337418081.9416022,1219750368.0615156,1706752355.5792127,1678173368.3,1798793474.432
SPH,746401.8,727005.1,932458.7,1289067,1121032,1342361,1683410,1639848
TG,749537657.28,863196475.931,877073749.241,1039672609.77,1011172178.083,1032226733.7974,1104643854.969,998943707.1067
