ClassKey,Z1_TotalIonIntensity,Z2_TotalIonIntensity,Z3_TotalIonIntensity,Z4_TotalIonIntensity,Z5_TotalIonIntensity,K1_TotalIonIntensity,K2_TotalIonIntensity,K3_TotalIonIntensity
Cer,372795291.1,358656556,328057688.7,453291653,372894255.3,573955107.6,526551013,514287723
Ch,58773637,97000795,60185995,59767222,85417816,75748385,98593062,60760779
Ch-D7,13834,16710,6934.7,0,7170.9,0,0,6485.7
ChE,24691302.6,42474131.8,24805095.5,24624700.5,37459402.9,35688593.6,47589083.8,27656746
DG,342950893.3,348145394.1,421522427.5,429359813.2,455490426,562849009.5,522432863.6,677470707.4
Hex1Cer,1570663317.476,1436835718.2,1708136832,1467685332.6,2009038635.8,2721551567,3051267653,2443788322
Hex2Cer,4915959,3150573,4280567,4487210,5444210,7953823,5342000,6158680
LPC,129938638,107167255,143555526,149715907,140875754,167957979,149297075,179710949
LPE,23615161.2,21224221.5,23985133.1,29188818.3,27998541,31659528,31921818.5,29966919
LPI,55764,47635,80418,43423,78174,82124,98041,59674
MG,139721.2,205360,82345,123549,258024,157452,195124,224102
PA,49209456.75,39868638,50661342.5,41617716,50668375,75360468,80807290,65563930
PC,21572697804.9,18461637090.6,23732150497.3,28292138321.9,24986468496.1,26249642258.44,20872478165.42,27821583724.3
PE,7633036628.693,7578483813.7595,9027446194.2991,9604190303.9155,9357712289.9816,10724643084.7308,11634830597.97289,10493149870.001904
PG,17254439,13610112,18624196,21042238.1,17155485,21568873,20314100.3,22351844.9
PI,133773840,97338653,107458576.5,106947444,129398004,124256430.84,136542705.5,134695589.93
PS,358902194.045,375636443.6068604,447917822.1,395458915.3932,426675144.6,601215170.319,653579655.23,527779437.0072
SM,172400,230380,167620,87826,112960,198600,258670,137860
TG,642272894.7,738078815.62,759429855.5,867874370.3,855511672.5,885681637.2014,957428486.3,832190625.5057
